[2016-04-25T10:11:04+03:00] INFO: Forking chef instance to converge...
[2016-04-25T10:11:04+03:00] INFO: *** Chef 12.9.38 ***
[2016-04-25T10:11:04+03:00] INFO: Platform: x86_64-linux
[2016-04-25T10:11:04+03:00] INFO: Chef-client pid: 3703
[2016-04-25T10:11:14+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/external-monitor-job.jpi in the cache.
[2016-04-25T10:11:14+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/antisamy-markup-formatter/WEB-INF/lib/antisamy-markup-formatter.jar in the cache.
[2016-04-25T10:11:14+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ant/META-INF/MANIFEST.MF in the cache.
[2016-04-25T10:11:15+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ant/META-INF/maven/org.jenkins-ci.plugins/ant/pom.xml in the cache.
[2016-04-25T10:11:15+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/antisamy-markup-formatter/WEB-INF/lib/owasp-html-sanitizer-r88.jar in the cache.
[2016-04-25T10:11:15+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ant/META-INF/maven/org.jenkins-ci.plugins/ant/pom.properties in the cache.
[2016-04-25T10:11:15+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ant/WEB-INF/licenses.xml in the cache.
[2016-04-25T10:11:15+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ant/.timestamp2 in the cache.
[2016-04-25T10:11:15+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ssh-credentials/META-INF/MANIFEST.MF in the cache.
[2016-04-25T10:11:15+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ssh-credentials/META-INF/maven/org.jenkins-ci.plugins/ssh-credentials/pom.xml in the cache.
[2016-04-25T10:11:15+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ssh-credentials/META-INF/maven/org.jenkins-ci.plugins/ssh-credentials/pom.properties in the cache.
[2016-04-25T10:11:15+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ssh-credentials/WEB-INF/licenses.xml in the cache.
[2016-04-25T10:11:15+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ant/WEB-INF/lib/classes.jar in the cache.
[2016-04-25T10:11:15+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ssh-credentials/.timestamp2 in the cache.
[2016-04-25T10:11:16+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/external-monitor-job/META-INF/MANIFEST.MF in the cache.
[2016-04-25T10:11:16+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/external-monitor-job/META-INF/maven/org.jenkins-ci.plugins/external-monitor-job/pom.xml in the cache.
[2016-04-25T10:11:16+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/external-monitor-job/WEB-INF/licenses.xml in the cache.
